------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                            Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     Number of Calls  Input Shapes                         
------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
expand_as                       0.04%            3.605us          0.04%            3.605us          3.605us          1                []                                   
expand                          0.03%            2.641us          0.03%            2.641us          2.641us          1                []                                   
size                            0.01%            1.243us          0.01%            1.243us          1.243us          1                []                                   
scatter_add_                    1.69%            166.956us        1.69%            166.956us        166.956us        1                []                                   
add                             0.13%            12.507us         0.13%            12.507us         12.507us         1                []                                   
unsigned short                  0.04%            4.171us          0.04%            4.171us          4.171us          1                []                                   
addmm                           0.51%            50.393us         0.51%            50.393us         50.393us         1                []                                   
relu                            0.15%            14.818us         0.15%            14.818us         14.818us         1                []                                   
unsigned short                  0.09%            8.742us          0.09%            8.742us          8.742us          1                []                                   
addmm                           0.31%            30.293us         0.31%            30.293us         30.293us         1                []                                   
relu                            0.26%            25.822us         0.26%            25.822us         25.822us         1                []                                   
dropout                         0.01%            0.761us          0.01%            0.761us          0.761us          1                []                                   
batch_norm                      0.60%            58.995us         0.60%            58.995us         58.995us         1                []                                   
_batch_norm_impl_index          0.57%            56.937us         0.57%            56.937us         56.937us         1                []                                   
empty                           0.02%            1.557us          0.02%            1.557us          1.557us          1                []                                   
native_batch_norm               0.53%            52.229us         0.53%            52.229us         52.229us         1                []                                   
select                          0.04%            3.961us          0.04%            3.961us          3.961us          1                []                                   
------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Self CPU time total: 9.907ms
